	user	topic	link	utterance	effect	
	Doktor Fuchs	politics	https://www.zeit.de/politik/deutschland/2020-10/andreas-scheuer-maut-betreiber-vertragskuendigung#comments	Was glauben Sie, was die USA seit Jahrzehnten macht?	lecture	
	"Stinkstiefelrich
"	politics	https://www.zeit.de/politik/deutschland/2020-10/andreas-scheuer-maut-betreiber-vertragskuendigung#comments	Und der nachfolgende Beitrag von Hefti macht die Sache auch nicht besser.	dissence	
	"avalon64
"	society	https://www.zeit.de/politik/deutschland/2020-10/rechtsextremismus-polizist-nordrhein-westfalen-bielefeld?page=3#comments	Eigentlich gebietet die Logik anzunehmen, dass zu jeder Chatgruppe jede Menge Mitwisser gehören, die das Ganze tolerieren und nicht melden. 	lecture	
	"BPecuchet
"	society	https://www.zeit.de/gesellschaft/zeitgeschehen/2018-09/rechtsxtremismus-todesopfer-gewalt-verdacht#comments	Das ist Journalismus at it's best. 	Praise	
	Quer-Rulant	society	https://www.zeit.de/gesellschaft/zeitgeschehen/2018-09/rechtsxtremismus-todesopfer-gewalt-verdacht#comments	Falsch, hier werden ganz bestimmte Opfer herausgestellt	dissence	
	Mr.Finch	society	https://www.zeit.de/gesellschaft/zeitgeschehen/2018-09/rechtsxtremismus-todesopfer-gewalt-verdacht?page=3#comments	Es ist absolut erschütternd, über die Fälle hier zu lesen.	dissence	
	Drakonia	society	https://www.zeit.de/gesellschaft/zeitgeschehen/2018-09/rechtsxtremismus-todesopfer-gewalt-verdacht?page=3#comments	Wunderbar.	praise	
	"SigiRuestig
"	society	https://www.zeit.de/gesellschaft/zeitgeschehen/2018-09/rechtsxtremismus-todesopfer-gewalt-verdacht?page=5#comments	Gehts noch blöder?	dissence	
	"Media criticus
"	society	https://www.zeit.de/gesellschaft/zeitgeschehen/2018-09/rechtsxtremismus-todesopfer-gewalt-verdacht?page=8#comments	Das Problem bei solchen Fällen wird auch hier sehr deutlich.	Lecture	
	PeTeEr	society	https://www.zeit.de/gesellschaft/zeitgeschehen/2018-09/rechtsxtremismus-todesopfer-gewalt-verdacht?page=8#comments	Die Umstände des Foltertodes von Sänger Jim Reeves im Jahr 2016 legen eine homophobe, aber auch rassistische Motivation der Täter durchaus nahe	Lecture	
	Tobisch	Lifestyle	https://forum.wildundhund.de/threads/merkel-kr-1.114406/	Ich bin genervt von dieser Waffe.	dissence	
	Ringo	Lifestyle	https://forum.wildundhund.de/threads/nosler-e-tip-308.115222/	Das klingt ja sehr gut.	praise	
	 icorvusi	Lifestyle	https://forum.wildundhund.de/threads/nosler-e-tip-308.115222/	Beim schweren (langen) 168er könnte es schon zu Problemen mit dem Drall kommen (könnte bei 1:12)	Lecture	
	Totto	Lifestyle	https://forum.wildundhund.de/threads/erfahrung-geco-zero-136grs-in-30-06.128834/	Gute Wirkung auch auf schwaches Rehwild. 	praise	
	Jon	Lifestyle	https://forum.wildundhund.de/threads/erfahrung-geco-zero-136grs-in-30-06.128834/	Das ist ja kein Zufall, sondern beabsichtigte Wirkung, die man als Käufer bewusst dort jagdlich ansetzt wo man sich einen Nutzen davon verspricht.	Lecture	
	Esmi	Lifestyle	https://forum.wildundhund.de/threads/wechsel-blei-schrot-auf-xxxxxx.128909/page-3	Wie gesagt, wenn es eine signifikante Nachfrage gibt wird es auch ein Angebot geben.	Lecture	
	lusches	Lifestyle	https://www.superjagd.com/forum/thema/steyr-mannlicher-5-6x57	Das Kaliber ist sehr gut auf Gams und Reh und vor allen Dingen auf den weiten Fuchs	praise	
	beat126	politics	https://www.tagesspiegel.de/politik/der-groesste-skandal-dieses-wahlkampfs-trump-und-pence-verhoehnen-die-demokratie/26257348.html#kommentare	Schlagworte lösen keine Probleme. Politiker, Medienschaffende und Konsumenten schaffen sie erst indem sie sie zur Krise heraufbeschwören.	Lecture	
	Charybdis66	politics	https://www.tagesspiegel.de/politik/der-groesste-skandal-dieses-wahlkampfs-trump-und-pence-verhoehnen-die-demokratie/26257348.html#kommentare	Das sehe ich absolut anders.	dissence	
	MaerkerinderMark	politics	https://www.tagesspiegel.de/politik/rki-meldet-mehr-als-4000-neuinfektionen-spahn-nennt-pandemie-charaktertest-fuer-unsere-gesellschaft/26256618.html#kommentare	"Sehr einseitige Sicht auf die Dinge...
"	dissence	
	Anchorage	politics	https://www.tagesspiegel.de/politik/diese-pruefung-wuerde-ich-fuer-mich-bestehen-gruenen-chef-habeck-traut-sich-zu-kanzler-zu-werden/26257228.html#kommentare	Mit einer solchen Unterstützung durch die Medien kann man auch Kanzler werden, wenn man Kinderbuchautor ist und ansonsten keinerlei Fachkenntnisse auf irgend einem Gebiet hat.	insinuation	
	carnet	politics	https://www.tagesspiegel.de/politik/diese-pruefung-wuerde-ich-fuer-mich-bestehen-gruenen-chef-habeck-traut-sich-zu-kanzler-zu-werden/26257228.html#kommentare	Gut erkannt.	Praise	
	Westpreussen	politics	https://www.tagesspiegel.de/politik/diese-pruefung-wuerde-ich-fuer-mich-bestehen-gruenen-chef-habeck-traut-sich-zu-kanzler-zu-werden/26257228.html#kommentare	Ein Großteil der Berliner hat nämlich keinen Bock auf die genderbewahnten Grünen oder die sozialistischen Flausen der Linkspartei.	dissence	
	Spreesurfer	politics	https://www.tagesspiegel.de/berlin/vor-der-raeumung-der-liebig34-die-polizei-liefert-genau-die-bilder-die-die-autonomen-haben-wollen/26253956.html#kommentare	Es ist sehr bedauerlich, dass in einer ordentlichen Tageszeitung so offen mit sympathisiert wird.  	dissence	
	don_krawallo	politics	https://www.tagesspiegel.de/berlin/vor-der-raeumung-der-liebig34-die-polizei-liefert-genau-die-bilder-die-die-autonomen-haben-wollen/26253956.html#kommentare	Dafuer darf die Polizei grundsaetzlich auf alle Mittel zurueckgreifen, die ihr von Gesetzes wegen in die Haende gelegt werden.	Lecture	
	Kath11	politics	https://www.tagesspiegel.de/berlin/vor-der-raeumung-der-liebig34-die-polizei-liefert-genau-die-bilder-die-die-autonomen-haben-wollen/26253956.html#kommentare	Ich finde diesen Kommentar von Frau Haarbach doch recht befremdlich. 	dissence	
	Sokratis	politics	https://www.tagesspiegel.de/berlin/vor-der-raeumung-der-liebig34-die-polizei-liefert-genau-die-bilder-die-die-autonomen-haben-wollen/26253956.html#kommentare	Der Kommentar ist unglaublich verlogen und perfide.	dissence	
	matbhm	politics	https://www.tagesspiegel.de/berlin/vor-der-raeumung-der-liebig34-die-polizei-liefert-genau-die-bilder-die-die-autonomen-haben-wollen/26253956.html#kommentare	Richtig ist, dass Wohnen keine Ware ist. 	consession	
	matbhm	politics	https://www.tagesspiegel.de/berlin/vor-der-raeumung-der-liebig34-die-polizei-liefert-genau-die-bilder-die-die-autonomen-haben-wollen/26253956.html#kommentare	Der Artikel ist an Absurdität nicht zu überbieten.	dissence	
	Djavan	news	https://www.tagesspiegel.de/berlin/polizei-justiz/polizeimeldungen-aus-berlin-im-blog-mann-faehrt-kind-an-und-begeht-fahrerflucht/25616846.html#kommentare	Der Mindestabstand ist ja zum Eigenschutz des Radfahrers und nicht zum Schutz der Autotür und entbindet den Insassen nicht von seiner Pflicht zur Vorsicht.	Lecture	
	dissentio	news	https://www.tagesspiegel.de/berlin/wutausbruch-im-nicht-risikogebiet-die-mehrheit-der-berliner-muss-fuer-die-innenstadt-buessen/26257086.html#kommentare	Und diese ganze Versager-Rhetorik mit zu wenig Stellen bei Polizeit und Ordnungsämtern etc. kann ich kaum mehr ertragen.	dissence	
	"MapleRidge
"	politics	https://www.zeit.de/politik/ausland/2020-10/anthony-scaramucci-republikaner-fuer-joe-biden-us-wahl/seite-4	Man muss Scaramucci nicht mögen, respektieren kann man ihn schon.	consession	
	Stoledjangee	politics	https://www.zeit.de/politik/ausland/2020-10/anthony-scaramucci-republikaner-fuer-joe-biden-us-wahl/seite-4	Was viele nicht wissen: Republikaner und Demokraten haben im laufe der Geschichte quasi die Rollen getauscht.	Lecture	
	"Lalopre
"	politics	https://www.zeit.de/politik/ausland/2020-10/anthony-scaramucci-republikaner-fuer-joe-biden-us-wahl/seite-4	Ich sehe eigentlich überhaupt nichts inhaltlich falsches in seinen Aussagen hier, was mich tatsächlich sehr erstaunt.	consession	
	Vierauge	politics	https://www.zeit.de/politik/ausland/2020-10/anthony-scaramucci-republikaner-fuer-joe-biden-us-wahl/seite-4	das war nicht, was Scaramucci gemeint hat	Lecture	
	Anfang und Ende	politics	https://www.zeit.de/politik/ausland/2020-10/anthony-scaramucci-republikaner-fuer-joe-biden-us-wahl/seite-4	Irgendwie beschämend.	dissence	
	CasualObserver	politics	https://www.zeit.de/politik/ausland/2020-10/anthony-scaramucci-republikaner-fuer-joe-biden-us-wahl/seite-4	Irgendwie tragisch, dass er sich zwar offen-naiv zu seinen Fehltritten bekennt, aber nicht merkt, dass er sich charakterlich kein Stück geändert hat.	insinuation	
	sonika	politics	https://www.zeit.de/politik/ausland/2020-10/anthony-scaramucci-republikaner-fuer-joe-biden-us-wahl?page=7#comments	Scaramuccis Aussage ist mehr als daneben.	dissence	
	Koga jebe	politics	https://www.zeit.de/politik/ausland/2020-10/anthony-scaramucci-republikaner-fuer-joe-biden-us-wahl?page=7#comments	Amüsantes Interview. Danke.	praise	
	"E.R. Lernt
"	politics	https://www.zeit.de/politik/ausland/2020-10/anthony-scaramucci-republikaner-fuer-joe-biden-us-wahl?page=10#comments	Sieht man Trumps Wirken aber von dessen Standpunkt aus, dann hat er in seinen vier Jahren eine Kette von Erfolgen erzielt, die der politischen Agenda der Republikaner entsprechen.	Lecture	
	"August S
"	politics	https://www.zeit.de/politik/ausland/2020-10/anthony-scaramucci-republikaner-fuer-joe-biden-us-wahl?page=10#comments	Ihm ist Trump einfach noch ein bisschen zu sozialistisch. Die Handelshemmnisse nerven ihn. Nichts weiter.	insinuation	
	"Donez
"	politics	https://www.zeit.de/politik/deutschland/2020-10/anschlag-breitscheidplatz-hans-georg-maassen-terrorismus-polizei-versagen?page=3#comments	So ist es.	consession	
	ansaj G	Music	https://www.youtube.com/watch?v=PxXrgRN4rig	ch würde es am liebsten noch tausend mal liken, so gut ist es	praise	
	"
Miss Marla Singer
"	Music	https://www.youtube.com/watch?v=PxXrgRN4rig	Das ist so eine geile Kombi..	praise	
	"
Seidel
"	Music	https://www.youtube.com/watch?v=PxXrgRN4rig	Das Lied ist mit eines der besten Lieder was jemals in der Deutsch rap Szene gemacht wurde	praise	
	"
Natalie Unterberger
"	Music	https://www.youtube.com/watch?v=rJElxdWHvr4&list=RDPxXrgRN4rig&index=2	Er ist so korrekt. Die Message ist mega.	praise	
	"
Damien Schrader
"	Music	https://www.youtube.com/watch?v=rJElxdWHvr4&list=RDPxXrgRN4rig&index=2	"ch muss sagen, dass ich gar kein Fan von Rap bin, da es dort zu häufig um ""Muttergeficke"" oder Ähnliches geht, aber wenn ich dann Künstler wie Kontra K, Dame oder Raportagen höre, fange ich an zu verstehen, dass das Genre ""Rap"" wirklich sehr sehr gut sein kann."	consession	
	PC Principal	Music	https://www.youtube.com/watch?v=rJElxdWHvr4&list=RDPxXrgRN4rig&index=2	Junge allein das Musikvideo ist Brutal. Was für Capital und Loredana alter? Das ist Deutschrap!	praise	
	Daki	Music	https://www.youtube.com/watch?v=rJElxdWHvr4&list=RDPxXrgRN4rig&index=2	Der Bruder, der Klimmzüge an der Brücke gemacht hat, hat mehr Eier bewiesen als die ganze Deutschrapszene	praise	
	Udo Lorenz 	News	https://www.faz.net/aktuell/wirtschaft/digitec/noten-fuer-die-digitalisierung-diese-staedte-sind-schon-smart-und-diese-nicht-16992689.html#lesermeinungen	fehlende Energie kann ein Smart Grid auch nicht herbeizaubern.	lecture	
	Hans List 	News	https://www.faz.net/aktuell/wirtschaft/digitec/noten-fuer-die-digitalisierung-diese-staedte-sind-schon-smart-und-diese-nicht-16992689.html#lesermeinungen	Ich weiß nicht, ob Sie's schon wussten, die Schlauheit des Fuchses besteht zu 80% aus der Dummheit der Hühner.	lecture	
	Udo Lorenz 	News	https://www.faz.net/aktuell/wirtschaft/digitec/noten-fuer-die-digitalisierung-diese-staedte-sind-schon-smart-und-diese-nicht-16992689.html#lesermeinungen	Vattenfall will das Kraftwerk nun stilllegen - aufmerksame Leser wissen das.	lecture	
	Edgar Thielsch 	News	https://www.faz.net/aktuell/wirtschaft/digitec/noten-fuer-die-digitalisierung-diese-staedte-sind-schon-smart-und-diese-nicht-16992689.html#lesermeinungen	Eine digitale Gesellschaft braucht IT-Knowhow in den Köpfen.	lecture	
	Eglisius	Politics	https://talk.lagedernation.org/t/ldn-208-known-bug-in-der-corona-warn-app-cwa/2363	Danke für Eure tolle und wertvolle Arbeit, macht weiter so	Praise	
	DansteStedao	Politics	https://talk.lagedernation.org/t/die-polizei-und-die-gesellschaft/1067/9	in den Schlussfolgerungen stimme ich absolut überein.	Consession	
	vieuxrenard	Politics	https://talk.lagedernation.org/t/ldn200-neubau-funktioniert-nicht/832/5	Der Wohnungsmarkt ist leider alles andere als ein perfekter Markt. 	lecture	
	Hufschmied	Politics	https://talk.lagedernation.org/t/bitte-keine-kampfbegriffe-mehr-nazis/1689	Interessant, du würdest den Begriff Neonazi als von Nazi trennen im Bezug auf die normative Implikation?	lecture	
	Nivatius	Politics	https://talk.lagedernation.org/t/bitte-keine-kampfbegriffe-mehr-nazis/1689	Wenn man von Nazis spricht betont man die Kontinuität zwischen des Faschismus des Dritten Reiches und rechtsextremen Umtrieben in Deutschland heute.	lecture	
	0	Politics	https://talk.lagedernation.org/t/bitte-keine-kampfbegriffe-mehr-nazis/1689	Im engeren Sinne hast du sicher Recht, dass es sich hier eigentlich um eine verkürzte Wortform von Neo-Nazi handelt.	Consession	
	Hufschmied	Politics	https://talk.lagedernation.org/t/bitte-keine-kampfbegriffe-mehr-nazis/1689	Zum Punkt der Äquivalenz stimme ich dir zu.	Consession	
	Grenzpunkt 0	Science	https://www.freitag.de/autoren/ulrike-baureithel/antworten-zu-covid#comments	Weiterhin ist zu berücksichtigen wie die Kette von der Probenahme bis zur Übermittlung der Zahlen eingehalten wird. 	lecture	
	rioja 	Science	https://www.freitag.de/autoren/ulrike-baureithel/antworten-zu-covid#comments	Epochales ist immer etwas Gr0ßes.	lecture	
	WuMing 	Science	https://www.freitag.de/autoren/ulrike-baureithel/antworten-zu-covid#comments	Ich will Amazon nicht verteidigen, aber versandkostenfrei können sie da ab 20 Euro kaufen.	Consession	
	Knossos	politics	https://www.freitag.de/autoren/pep/die-cum-ex-aufarbeitung-droht-zu-scheitern#comments	Den kleinen Leuten wird nicht nur Unrentables angedreht, sondern auch noch versucht, ihnen Rentables abzuknöpfen. 	insinuation	
	Flegel	politics	https://www.freitag.de/autoren/pep/die-cum-ex-aufarbeitung-droht-zu-scheitern#comments	Bei dem ganzen Vorgang fällt die Straflosigkeit für alle Beteiligten auf.	lecture	
	Magda 	politics	https://www.freitag.de/autoren/dr-michael-strautmann/die-politik-der-zukunft#comments	Sie wird geschätzt auf der Welt und das ist durchaus verdient und begründet.	praise	
	pleifel 	politics	https://www.freitag.de/autoren/dr-michael-strautmann/die-politik-der-zukunft#comments	Mit diesen Worthülsen werden jedenfalls keine Probleme gelöst und die sichtbaren Probleme deutscher Großprojekte scheinen dann die Methode 'agil' auch nicht richtig verstanden zu haben	dissence	
	Flegel	politics	https://www.freitag.de/autoren/the-guardian/das-schreckgespenst#comments	Politik hätte durchaus die Alternative zur Verfügung gestanden, die Bankeigentümer zum Schadensersatz heranzuziehen.	lecture	
	Love Deutschrap	Music	https://www.youtube.com/watch?v=xmsbbPj_5Wk	Der Junge dropt mehr Bretter als ein Baumarkt	praise	
	Kxa_ ma	Music	https://www.youtube.com/watch?v=tGrq8yhrsdw	Seit gestern am Dauerschleife im Auto hören.	praise	
	"
Davide Travisano
"	Music	https://www.youtube.com/watch?v=tGrq8yhrsdw	Ein no Go ist der Typ ehrenlos und geschmacklos	dissence	
	"DIYARBAKIRLI MAZLUM2101
"	Music	https://www.youtube.com/watch?v=tGrq8yhrsdw	ER IST UND BLEIBT DER BESTE RAPPER!	praise	
	Xeyetic	Music	https://www.youtube.com/watch?v=tGrq8yhrsdw	Einer der besten Tracks des Jahres.	praise	
	Chris1111116	Music	https://www.youtube.com/watch?v=QgYeVUjjMS8	 geiler Track bitte mehr davon!	praise	
	"Panda
"	Music	https://www.youtube.com/watch?v=7qdHZo9zXt8	absoluter Ehrenmann	praise	
	J C	Music	https://www.youtube.com/watch?v=7qdHZo9zXt8	 Feier diese chilligen beats	praise	
	rex blue	Music	https://www.youtube.com/watch?v=QgYeVUjjMS8	dope! übertriebener beat, geile delivery!	praise	
	Leo Maglia	Music	https://www.youtube.com/watch?v=QgYeVUjjMS8	Geiler Beat	praise	
	hans meiser	Music	https://www.youtube.com/watch?v=QgYeVUjjMS8	Das gefällt mir!	praise	
	zakvacen	Music	https://www.youtube.com/watch?v=QgYeVUjjMS8	Geiler Song!!!!!! Mach weiter so!	praise	
	xchillexdc	Music	https://www.youtube.com/watch?v=QgYeVUjjMS8	brutaler hätte mans nicht machen können. echt nice	praise	
	Mux Mastermann	Music	https://www.youtube.com/watch?v=QgYeVUjjMS8	Dicker Sound!! Sehr nice!!	praise	
	Jot Ha	Music	https://www.youtube.com/watch?v=QgYeVUjjMS8	 Stabiler Typ!	praise	
	Official ARL	Music	https://www.youtube.com/watch?v=QgYeVUjjMS8	Unfassbar großartig!!	praise	
	Itsya Boy	Music	https://www.youtube.com/watch?v=QgYeVUjjMS8	Ehrenmann irgendwie	praise	
	"Zrole-_-
"	Music	https://www.youtube.com/watch?v=csA3Ie-VIbs	Fühl ich zu 100 % die Aussage	praise	
	Saarbrigge du geila	Music	https://www.youtube.com/watch?v=csA3Ie-VIbs	ich bin nicht der größte Capital Fan, aber das Lied hör schon ewig und es ist immernoch geil	consession	
	"Mal Rahj
"	Music	https://www.youtube.com/watch?v=qvRmNBD0tEs	ihr seid grauenhaft	dissence	
	"
MrKudl74
"	Music	https://www.youtube.com/watch?v=qvRmNBD0tEs	tolle band.	praise	
	Reza Tayebi	Music	https://www.youtube.com/watch?v=qvRmNBD0tEs	Ich liebe das, Sehr Gut!	praise	
	"
Hannoi
"	Music	https://www.youtube.com/watch?v=qvRmNBD0tEs	Klingt ein bißchen zu sehr nach Rio, aber trotzdem gut.	consession	
	LLUMINEM1	Music	https://www.youtube.com/watch?v=qvRmNBD0tEs	hier bischen auf rio reiser machen wa?	insinuation	
	TiKn	Music	https://www.youtube.com/watch?v=55bN5aSdOnQ	Das neue Album ist echt gut geworden.	praise	
	Benjamin Marwede	Music	https://www.youtube.com/watch?v=55bN5aSdOnQ	Das ist die langweiligste musik die ich kenne	dissence	
	Mario Heinz	Music	https://www.youtube.com/watch?v=2gFV-YVhJjg	Ehrliche Musik, kein Kitsch, wirklich sehr gefühlvoll!	praise	
	Rafail Findanis	Music	https://www.youtube.com/watch?v=3-Oe1XzxCw8	Ich hör meistens nur us rap oder metal doch feier das Lied	consession	
	"
Enrico
"	Music	https://www.youtube.com/watch?v=lD5ELoiXJMQ	Ihr seit einfach geil.	praise	
	"
Ondré Lepuaf
"	Music	https://www.youtube.com/watch?v=vH1poPSIvOk	Ein wahrhaftes Meisterstück von Deichkind.	praise	
	verhoeven	Politics	https://www.tagesspiegel.de/berlin/verdacht-auf-steuerhinterziehung-staatsanwaltschaft-ermittelt-gegen-ex-bausenatorin-lompscher/26299452.html#kommentare	na ja, Wasser predigen und Wein trinken	Insinuation	
	krischoo	Lifestyle	https://stilmagazin.de/forum/threads/erfahrungen-mit-kellys-kiel.32267/page-4	ich mag eben keine schulterpolsterungen.	dissence	
	Scarlatti	Lifestyle	https://stilmagazin.de/forum/threads/was-passt-an-diesem-sakko-nicht.33888/page-2	Abgesehen von den modischen Fragwürdigkeiten sind hier aber auch Dinge vorhanden, die sicher nicht im Sinne der aktuellen Mode sein dürften, z.B. ein Collar Gap, der so groß ist, wie der Grand Canyon.	Lecture	
	Pat7	politics	https://www.tagesspiegel.de/politik/corona-in-den-usa-und-europa-trump-reagierte-falsch-aber-wer-reagiert-richtig/26302390.html#kommentare	Nur weil Äpfel und Birnen Obst sind, macht es nochlange keinen Sinn die zu vergleichen.	Lecture	
	GBB	politics	https://www.tagesspiegel.de/politik/corona-in-den-usa-und-europa-trump-reagierte-falsch-aber-wer-reagiert-richtig/26302390.html#kommentare	Wer gestern die Debatte zwischen Trump und Biden aufmerksam verfolgt hat, kennt die Antwort von Biden.	Lecture	
	Gophi	politics	https://www.tagesspiegel.de/politik/corona-in-den-usa-und-europa-trump-reagierte-falsch-aber-wer-reagiert-richtig/26302390.html#kommentare	Wir tendieren dazu, Gefahren, die neu sind, zu überschätzen und Gefahren, an die wir uns gewöhnt haben, zu unterschätzen, letzteres massiv.	Lecture	
	seb_	politics	https://www.tagesspiegel.de/berlin/elf-wirte-waren-bereits-erfolgreich-berliner-verwaltungsgericht-hebt-sperrstunde-fuer-20-weitere-lokale-auf/26301926.html#kommentare	Sorry aber die Entscheidung ist gänzlich unrichtig.	dissence	
	goobe	politics	https://www.tagesspiegel.de/berlin/elf-wirte-waren-bereits-erfolgreich-berliner-verwaltungsgericht-hebt-sperrstunde-fuer-20-weitere-lokale-auf/26301926.html#kommentare	Das ist ein interessantes Argument. 	consession	
	eucrit	politics	https://www.tagesspiegel.de/politik/skandal-in-der-letzten-tv-debatte-vor-der-wahl-wie-trump-versucht-biden-eine-schmutzkampagne-anzuhaengen/26301506.html#kommentare	Es darf auch nicht verwundern, dass es Hinweise gibt, dass der Maidan-Aufstand von den USA gekauft wurde.	Lecture	
	SIKOAlex	politics	https://www.tagesspiegel.de/politik/skandal-in-der-letzten-tv-debatte-vor-der-wahl-wie-trump-versucht-biden-eine-schmutzkampagne-anzuhaengen/26301506.html#kommentare	Der Mann ist ein trockener Junkie, der als junger Mann zu viel Kokain konsumiert hat und im Leben nichts auf die Beine gebracht bekommen hat. So sieht es aus.	Insinuation	
	Mopshase12	politics	https://www.tagesspiegel.de/berlin/erster-termin-der-neuen-bvg-chefin-berlin-bekommt-200-neue-doppeldeckerbusse/26294532.html#kommentare	Nehmen Sie sich mal etwas zusammen und lesen Sie ein Bisschen was über das Thema, bevor Sie sich aufregen. 	Lecture	
	T.Setzer	news	https://www.tagesspiegel.de/wirtschaft/streit-ueber-vegetarische-ersatzprodukte-der-veggie-burger-darf-bleiben/26291458.html#kommentare	Leider ist der Artikel unangemessen schlampig geschrieben.	dissence	
	Punkt12	sports	https://www.tagesspiegel.de/sport/der-1-fc-union-in-der-saison-2020-21-mit-fans-gegen-freiburg-fuer-den-senat-ein-falsches-signal/24349290.html#kommentare	Das ist wieder ein grandioser Transfer für die Berliner. 	Praise	
	tandor	sports	https://www.tagesspiegel.de/sport/der-1-fc-union-in-der-saison-2020-21-mit-fans-gegen-freiburg-fuer-den-senat-ein-falsches-signal/24349290.html#kommentare	Armutszeugnis von Union.	dissence	
	12459	sports	https://www.tagesspiegel.de/sport/der-1-fc-union-in-der-saison-2020-21-mit-fans-gegen-freiburg-fuer-den-senat-ein-falsches-signal/24349290.html#kommentare	"Ich halte Ihren Standpunkt, dass man in einem Fußballstadion mit allen anderen Zuschauern in Kontakt kommt, für ""erschütternd einfältig"". "	Lecture	
	Katamaus 	sports	https://www.kampfkunst-board.info/forum/showthread.php?190467-Welches-Ausdauergerät&s=d8ed69cc2162eefc3c2f60b102e9c1fc	Da kann man prima Intervall fahren	praise	
	marq	sports	https://www.kampfkunst-board.info/forum/showthread.php?190613-Kraftstandards-fuer-5x5/page3	das wichtigste im training ist allerdings ein sinnvoller trainingsplan , der mit freude lange zeit durchgezogen wird.	Lecture	
	dokumentwissen	News	https://www.zeit.de/wissen/gesundheit/2020-10/coronavirus-aktuell-neuinfektionen-covid-19-ausbreitung-live?page=2#comments	Auch wer sich nach Ansteckung und Durchleben der Krankheit sicher glaubte, muss wissen, dass er sich neu anstecken kann und dann evtl. „härtere Zeiten“ durchmacht als beim 1. mal.	Lecture	
	Ego-Shooter	News	https://www.zeit.de/wissen/gesundheit/2020-10/coronavirus-aktuell-neuinfektionen-covid-19-ausbreitung-live?page=2#comments	Ein Virus kann nicht klug sein, es hat kein Bewusstsein. 	Lecture	
	Tullux	News	https://www.zeit.de/wissen/gesundheit/2020-10/coronavirus-aktuell-neuinfektionen-covid-19-ausbreitung-live?page=2#comments	Thailand ist ein gutes Beispiel.	Praise	
	Jesus H Christ	News	https://www.zeit.de/wissen/gesundheit/2020-10/coronavirus-aktuell-neuinfektionen-covid-19-ausbreitung-live?page=4#comments	Maßlos überschätzt, der Mann.	dissence	
	"charlie_golf
"	News	https://www.zeit.de/wissen/gesundheit/2020-10/coronavirus-aktuell-neuinfektionen-covid-19-ausbreitung-live?page=4#comments	Schlechtes Vorbild und politisch überbewertet	dissence	
	Erwin Dufner 	News	https://www.faz.net/aktuell/politik/ausland/warum-die-pandemie-die-tschechen-so-schlimm-heimsucht-17016670.html#lesermeinungen	Irgend wie leuchtet mir das nicht ein.	dissence	
	Thomas Tobias 	News	https://www.faz.net/aktuell/politik/ausland/warum-die-pandemie-die-tschechen-so-schlimm-heimsucht-17016670.html#lesermeinungen	Etwas überhebliche Sichtweise	dissence	
	Frank Aschhoff 	politics	https://www.faz.net/aktuell/politik/wahl-in-amerika/tweets-zum-tv-duell-zwischen-trump-und-biden-17016615.html	Es geht um die Präsidentschaft der ehemals größten Nation der Welt, da ist Personenbashing nicht mal mehr armselig zu nennen. 	dissence	
	Torsten Scherf 	politics	https://www.faz.net/aktuell/politik/inland/marlene-grunert-berlin-17016966.html	Insofern klar Verfassungswidrig, selbst für Normalmenschen ersichtlich. 	Lecture	
	Erwin Dufner 	politics	https://www.faz.net/aktuell/politik/inland/marlene-grunert-berlin-17016966.html	Das Urteil ist zweifellos richtig. Danke. 	Praise	
